Job Preparation Study,...2,...3,...4,...5,...6,...7,...8
233,19,22,f,16,2.21,15,1.93
316,20,22,f,17,1.88,16,1.23
380,22,22,m,16,3.04,16,2.5299999999999998
559,15,22,m,17,2.2799999999999998,16,2.31
335,8,21,m,16,1.1000000000000001,13,0.57999999999999996
981,19,22,m,16,0.87,12,0.9
146,4,22,m,18,2.99,16,3.18
993,19,22,m,12,3.29,18,2.88
536,1,22,f,16,2.76,16,2.16
100,6,23,m,17,0.93,13,1.06
520,21,22,m,16,1.93,12,2.34
711,12,22,f,13,1,15,0.71
625,19,22,m,16,3.36,17,3.55
651,10,22,m,16,1.96,16,1.1299999999999999
102,23,22,m,16,3.07,18,3.36
572,23,21,m,17,2.6,16,2
717,22,21,f,17,3.48,17,2.56
786,14,22,m,16,0.67,16,0.54
930,17,20,f,16,1.0900000000000001,16,1.71
509,11,22,f,16,2.48,16,2.6
681,13,22,f,17,3.96,18,3.31
458,15,22,f,17,3.95,17,3.92
643,12,22,f,12,2.78,16,2.64
199,5,23,m,17,2.76,15,3.19
287,18,22,m,17,2.78,12,2.78
715,15,22,m,14,2.52,18,2.5
889,14,22,m,18,3.25,16,3.27
333,3,22,m,17,3.03,15,2.73
952,17,22,m,15,2.39,17,1.6
885,1,22,m,16,3.54,16,3.41
355,14,22,f,16,2.39,16,2.8
850,15,24,m,17,2.36,17,2.73
925,12,22,m,15,3.17,15,2.02
499,16,22,f,11,2.38,13,2.94
865,23,22,f,16,3.1,17,3.31
872,16,22,f,17,2.56,16,2.31
883,21,22,f,15,3.63,15,3.33
352,22,22,m,17,3.97,17,3.98
434,12,22,m,15,1.48,13,1.71
696,20,22,f,17,1.4,17,1.89
121,8,22,m,16,3.35,9,3.49
849,10,22,f,13,3.57,16,3.47
163,20,22,f,15,3.77,17,3.65
688,5,22,m,17,3.85,12,3.79
363,13,22,f,10,2.69,18,2.1
742,5,22,m,16,3.17,16,3.54
311,11,21,m,16,2,16,2.54
541,4,22,f,17,2.85,14,3.5
556,19,22,m,16,3.47,16,3.37
770,11,22,m,16,1.69,17,1.31
175,21,23,m,16,3.23,17,3.17
109,21,22,m,16,2.54,17,2.44
563,20,23,f,15,1.97,16,1.78
489,3,22,f,16,3.07,15,3.22
420,14,22,f,15,0.92,16,0.95
367,16,22,f,15,2.76,15,2.37
723,14,22,m,16,2.25,16,2.3199999999999998
426,12,22,m,17,2.68,16,2.72
394,3,22,f,16,1.74,15,1.59
103,16,21,m,16,1.67,16,2.46
477,9,22,f,13,1.21,16,2.0299999999999998
416,12,22,f,16,2.2799999999999998,17,2.6
564,13,22,f,17,2.62,16,2.29
580,16,22,f,17,2.58,15,1.96
241,13,22,m,16,3.46,15,3.24
378,19,22,m,15,0.87,9,0.82
242,23,22,m,16,0.96,15,1.28
294,16,23,m,15,1.66,16,2.67
577,11,22,f,16,1.7,17,2.5499999999999998
548,4,21,f,15,2.96,15,2.7
483,10,23,m,13,2.4700000000000002,16,2.4500000000000002
273,23,23,f,18,1.69,18,1.86
